"sce","region","year","Units","value"
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2030","MtCO2e",910.997656516037
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2035","MtCO2e",796.97057001783
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2040","MtCO2e",592.560682815022
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2045","MtCO2e",359.714748485024
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2050","MtCO2e",156.884268417344
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2020","MtCO2e",788.70097316133
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2025","MtCO2e",761.571320219163
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2030","MtCO2e",753.129621502952
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2035","MtCO2e",648.552633360903
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2040","MtCO2e",558.401040720534
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2045","MtCO2e",471.570851943603
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2050","MtCO2e",384.110162846017
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2020","MtCO2e",2985.72198360614
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2025","MtCO2e",2791.9765122708
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2030","MtCO2e",2604.45418066943
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2035","MtCO2e",2253.76326968008
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2040","MtCO2e",1898.65332637062
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2045","MtCO2e",1549.42673432937
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2050","MtCO2e",1206.70186830217
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2020","MtCO2e",470.74834734622
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2025","MtCO2e",526.506473769621
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2030","MtCO2e",604.910188410565
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2035","MtCO2e",705.635682983623
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2040","MtCO2e",807.039118927426
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2045","MtCO2e",914.931529570691
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2050","MtCO2e",1012.44225071362
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2020","MtCO2e",2346.29716994628
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2025","MtCO2e",2388.6952696882
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2030","MtCO2e",2440.92851238432
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2035","MtCO2e",3015.44421682275
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2040","MtCO2e",2770.40528673073
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2045","MtCO2e",2514.29380162508
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2050","MtCO2e",1669.7542412355
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2020","MtCO2e",591.481710682642
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2025","MtCO2e",552.026735241622
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2030","MtCO2e",499.230996011648
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2035","MtCO2e",374.299435160909
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2040","MtCO2e",249.346585804111
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2045","MtCO2e",124.387890572379
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2050","MtCO2e",-0.561408455875526
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2020","MtCO2e",339.255261202999
