"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Cyprus","CYP","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","5.30364","5.27814","4.61627","3.5479","2.95504","1.94163","1.9344","1.49367","1.16371","0.81852","0.75974","0.59009","0.41777","","","","","","","","","","","","","","","","1.63429","0.80529","1.18327","1.49568","1.24388","1.15501","1.38946","1.7518","1.73401","1.73419","2.28343","1.82462","2.12062","2.16318","2.36919","2.13443","1.79086","1.6703","1.69704","","","","","",
"Czechia","CZE","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.27388","","","","","","","","13.45339","12.61864","12.12502","12.19535","11.90118","11.18696","10.91865","10.68931","10.29121","10.36963","10.48648","","","","","",
"Germany","DEU","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.38582","17.39373","16.72297","16.11854","15.53935","15.1599","15.21754","15.00387","14.76856","13.63482","13.52219","13.02409","12.7196","12.50321","12.17593","11.88683","11.82699","","","","","",
"Djibouti","DJI","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","21.3154","21.0138","20.47465","20.12897","18.69406","18.2134","16.80754","16.32131","15.195","16.70353","16.00902","15.7469","17.3054","","17.22522","16.15302","17.97745","18.2735","","16.97493","12.31368","13.7464","13.12404","17.31714","17.31718","","11.74252","","","13.06301","13.30791","15.9226","13.77615","11.90556","11.28513","","","",
"Dominica","DMA","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","16.40736","15.81032","16.32897","","18.29504","16.85789","16.77354","17.6113","","","","","","","","","","","","","","","","","6.68383","4.31459","4.08574","3.53241","3.66157","2.86669","2.90223","2.54713","3.41317","2.74824","3.29243","","4.07963","5.40275","","5.09422","4.79098","6.66394","","","","","","",
"Denmark","DNK","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98192","0.973","1.33941","1.64751","","1.71175","1.66454","1.69809","0","0","","2.45185","2.64499","2.87042","2.8988","3.23051","3.23568","3.33239","2.94749","3.00673","2.83388","2.86085","2.73149","2.65756","2.40179","","","","","",
"Dominican Republic","DOM","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","22.51962","","","","","","","","","","","","","","","","","","","","","","","","","","","22.66931","24.01862","","21.75992","21.24188","21.33155","20.65362","17.98534","19.28927","20.57341","11.28246","14.21989","14.43987","14.36321","15.31266","15.58122","14.53714","13.87557","12.51087","11.10799","","","","",
"Algeria","DZA","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","17.6917","16.58527","15.55898","15.94012","15.86356","15.60432","15.24237","13.91989","12.82732","12.12377","11.4073","10.0245","9.05024","6.50538","6.05785","6.12644","5.85956","6.11323","5.93736","6.24687","6.71555","7.13496","7.16921","8.54234","9.78321","","11.15864","12.46409","12.24385","11.84074","11.95159","12.06763","12.23451","12.62192","11.64692","10.27519","10.83598","10.78314","9.26718","8.32556","8.02078","7.16842","6.73233","6.7546","6.87842","6.56563","","","","",
"East Asia & Pacific (excluding high income)","EAP","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
