"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Congo, Dem. Rep.","COD","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","30.1904","30.99681","","","27.06826","","","","20.98782","","","","20.63003","20.63007","","","","23.77303","","","23.70752","23.9041","25.55564","21.20957","16.52692","","","","30.80115","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","29.02135","","26.0587","","25.2215","","22.44533","22.204","33.6612","33.27499","33.32366","33.31018","33.25907","","","","","","","","","","","","","","","","","","","","","53.10212","47.00479","","","","14.04092","","15.84831","","","","","","","","","","",
"Colombia","COL","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","35.78733","","","","","","","","","","","","","19.78423","18.93131","18.30476","18.19011","","19.76656","19.7603","20.72718","21.55014","22.19063","22.43257","21.01888","20.1688","19.883","19.92305","18.4792","17.88307","17.87798","16.9649","16.83619","","","","",
"Comoros","COM","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.43579","","","","","","","27.61533","","","","","33.30755","33.30917","","","","","","","22.41632","","","","","","","","","","17.27054","17.87086","","","","",
"Cabo Verde","CPV","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","19.79258","20.72648","19.35141","18.27191","16.40942","15.85849","17.09968","13.68782","","12.74513","","","","10.02083","","","","17.45416","","17.97051","18.10101","18.9824","18.39287","18.79185","18.14987","18.43538","17.30972","17.31265","16.52923","15.70931","15.1292","14.1791","13.44364","12.57784","11.10558","10.37663","","12.32672","","","","",
"Costa Rica","CRI","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","18.8222","","16.52763","16.52767","","14.60292","14.52999","","15.64003","16.43172","16.09128","15.84616","15.26062","","","14.74438","15.06721","14.74452","","14.98327","15.23661","15.86014","","","","","","","","","","","","","","","","","","","","12.81398","13.19544","13.29111","13.5259","12.41394","11.89651","8.80334","13.28971","","","","",
"Caribbean small states","CSS","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","20.65845","20.61462","20.42383","","","","","15.54205","12.89231","11.29063","10.30049","10.72319","12.05514","12.64974","11.79478","10.76496","10.07764","8.72765","7.75557","6.11631","4.65782","4.08859","3.12158","3.03259","5.71271","5.75286","6.10714","5.52992","5.6947","5.71141","5.63918","5.38218","5.16594","5.58676","5.84283","3.99655","3.84943","3.61806","3.53677","3.51187","3.64464","1.87492","3.71886","4.04878","4.00491","3.69296","3.44345","","","","",
"Curacao","CUW","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.97905","3.19953","1.49254","6.40177","","2.48555","3.4689","2.28031","5.41949","6.82752","","","3.13131","1.98511","1.96276","","","","","2.25327","","","","",
