Title: GramProteinFatPerKcal,,,,,,,,
Source: DF_Macronutrient_FoodItem3 - module_aglu_L100.FAO_SUA_connection,,,,,,,,
#######,,,,,,,,
GCAM_commodity,GCAM_region_ID,Mt,fatperc,proteinperc,Kcalperg,MKcal,gProteinPerKcal,gFatPerKcal
Corn,7,5.036384242,2.898521348,7.886665398,3.594578802,18103.68003,2.194044374,0.806359106
Dairy,7,30.25144515,3.614211016,3.298223551,0.655380487,19826.20685,5.032532425,5.51467596
FiberCrop,7,0.373951874,74.65490067,0,6.599493219,2467.892856,0,11.31221719
Fruits,7,20.3792179,0.294965105,0.568420778,0.433413912,8832.636554,1.311496383,0.680562152
Legumes,7,2.9734264,1.610669299,22.00779602,3.371678282,10025.43722,6.527252656,0.477705512
MiscCrop,7,1.149597158,1.820413406,8.475733648,0.670336828,770.617312,12.64399224,2.715669692
NutsSeeds,7,0.288286892,27.48453803,12.08359067,3.207896805,924.7946,3.766826491,8.567774994
OilCrop,7,2.963621963,20.89328898,6.846775987,2.378777759,7049.798012,2.878274761,8.783203431
OilPalm,7,1.714973741,31.74175715,0,2.805971332,4812.167152,0,11.31221719
OtherGrain,7,2.43437879,0.724124357,4.616108011,2.978389365,7250.5279,1.549867208,0.243126156
OtherMeat_Fish,7,2.52041656,4.739623379,11.96273802,0.961970735,2424.56697,12.43565692,4.926993316
Pork,7,2.856135172,41.26712939,8.908776833,4.10064413,11711.99393,2.172531083,10.06357247
Poultry,7,11.42861097,8.078228938,11.37462127,1.259257724,14391.56664,9.032798494,6.415071978
Rice,7,8.280201242,0.650139102,5.469385529,2.788335531,23087.97933,1.961523449,0.23316387
RootTuber,7,11.82254365,0.156594145,0.887197813,0.785912246,9291.481838,1.128876433,0.199251438
SheepGoat,7,0.13398902,15.72426186,11.95330343,1.901655586,254.800968,6.285735188,8.268722252
Soybean,7,2.664075141,95.81561573,0,8.47010043,22564.984,0,11.31221719
SugarCrop,7,54.27285931,0.014339745,0.01991921,0.578529465,31398.44829,0.034430762,0.024786542
Vegetables,7,10.69258026,0.209010201,1.073918315,0.26520913,2835.769902,4.049326344,0.788095801
Wheat,7,7.951630835,1.251725247,9.378895948,3.528645696,28058.48792,2.657930763,0.354732482
Beef,8,1.106226464,5.951738775,12.5664999,1.074526613,1188.669775,11.69491733,5.538940316
Corn,8,0.527204072,10.50929591,6.830171925,3.887195455,2049.345272,1.757095058,2.703567656
Dairy,8,2.815742555,11.03237432,6.324223421,1.361739081,3834.30668,4.64422554,8.101680026
FiberCrop,8,9.48E-04,67.69785746,0,5.984490599,5.673512,0,11.31221719
Fruits,8,5.159000667,0.317657034,0.374137805,0.332018443,1712.88337,1.1268585,0.956745145
Legumes,8,0.3294896,2.047160505,23.62602637,3.459243132,1139.784636,6.829825332,0.59179434
MiscCrop,8,0.348979955,2.889996969,6.011601198,0.953141226,332.627182,6.307146347,3.032076351
NutsSeeds,8,0.326389912,32.07737801,13.15783288,3.619288318,1181.299196,3.635475188,8.862896568
OilCrop,8,0.762454813,77.90026833,1.69493784,7.028126483,5358.628864,0.24116496,11.08407319
OilPalm,8,0,27.20257901,5.53E-04,2.403417193,0,2.30E-04,11.31829259
OtherGrain,8,0.540937626,0.785151423,4.561900607,2.438776557,1319.226,1.87056932,0.321944797
OtherMeat_Fish,8,0.876737588,1.993844155,8.910903884,0.690895288,605.733868,12.89761856,2.885884722
Pork,8,0.957181077,29.79476588,9.448214558,3.086147139,2954.001642,3.061491929,9.654356888
Poultry,8,1.846455429,8.494973118,12.45111862,1.306897238,2413.1275,9.527236161,6.500107946
Rice,8,0.516600872,0.641133814,5.056382824,2.687808263,1388.524092,1.88122899,0.238534059
RootTuber,8,2.957451517,0.115433073,1.515082742,0.682943593,2019.772566,2.218459558,0.169022851
SheepGoat,8,0.035336388,20.84798969,13.36710577,2.453944174,86.713524,5.447192283,8.49570659
Soybean,8,0.067797046,42.59615669,16.36047065,4.584049493,310.785014,3.568999565,9.29225497
SugarCrop,8,7.400023547,0.009601597,0.003420388,0.61693299,4565.318654,0.00554418,0.015563436
Vegetables,8,3.841073852,0.278583961,1.184943809,0.280402173,1077.045454,4.225872421,0.993515699
Wheat,8,2.142908992,1.544569168,11.13821575,3.481299274,7460.10752,3.199442182,0.443676066
Beef,9,0.822838428,13.69052828,12.87846081,1.756576937,1445.379006,7.331566606,7.793867713
Corn,9,4.099475808,2.579881427,8.404181265,3.261668405,13371.13072,2.576651033,0.790969868
Dairy,9,5.461450532,4.292979542,4.048710635,0.747541283,4082.65974,5.416036177,5.742799277
FiberCrop,9,0.001615153,69.77669297,0,6.166388035,9.959658,0,11.31565068
Fruits,9,9.91551776,0.93318309,0.599156537,0.507172176,5028.874722,1.181367128,1.839972959
Legumes,9,1.128690136,1.659470284,21.76985699,3.376910253,3811.485294,6.446679172,0.491416757
MiscCrop,9,0.254180928,7.239199425,7.539366524,1.383286387,351.605018,5.450329442,5.233333813
NutsSeeds,9,0.150820062,33.01451355,13.49644076,3.780541888,570.1815607,3.569975193,8.732746395
OilCrop,9,0.686765283,25.61346118,2.267994268,2.507592842,1722.127708,0.904450766,10.21436206
OilPalm,9,1.220507495,28.91525063,0,2.556003207,3119.621072,0,11.31268167
OtherGrain,9,0.519615664,1.608353391,7.159481085,3.457570873,1796.607986,2.070667919,0.465168597
OtherMeat_Fish,9,0.886763687,9.536256013,13.0846305,1.443702716,1280.223143,9.063244359,6.605415301
Pork,9,0.659239764,31.57458488,10.95500576,3.255575204,2146.204628,3.364998524,9.698619413
Poultry,9,2.749276555,8.56922209,10.782426,1.266232097,3481.222218,8.515363038,6.767497135
Rice,9,4.033737965,0.472580583,5.141558087,2.615383409,10549.77135,1.965890764,0.180692659
RootTuber,9,3.541070626,0.172184403,1.104219762,0.848481781,3004.533912,1.301406567,0.202932352
SheepGoat,9,0.042072882,12.93832237,12.50806441,1.565189137,65.852018,7.991407633,8.26629962
Soybean,9,0.486134011,88.86563631,3.730201489,8.036586524,3906.858038,0.46415247,11.05763449
SugarCrop,9,24.15638917,0.010978638,0.010320225,0.482155757,11647.14212,0.021404339,0.0227699
Vegetables,9,4.78918345,0.269963001,1.178839645,0.272773208,1306.360934,4.321684131,0.989697643
Wheat,9,2.665339628,1.999095986,9.851328709,3.526610255,9399.614064,2.793427115,0.566860481
Beef,10,2.25749533,14.56703648,12.04619205,1.826162344,4122.552962,6.596451892,7.976857329
Corn,10,0.591858781,6.275498862,7.445004265,3.575344776,2116.0992,2.082317855,1.755215023
Dairy,10,16.67587434,4.474753792,3.704970357,0.729545614,12165.81098,5.078462929,6.133617562
FiberCrop,10,0.44952468,59.09299574,0,5.223821446,2348.236664,0,11.31221585
Fruits,10,6.936748864,0.301251465,0.523013398,0.468586034,3250.463638,1.11615234,0.642894672
Legumes,10,0.161010998,1.775016062,22.2569301,3.423013175,551.142766,6.502145614,0.518553675
MiscCrop,10,0.193945479,29.88036878,9.027719093,3.683562364,714.410266,2.450812068,8.111812922
NutsSeeds,10,0.199805575,31.92846921,9.984379418,3.462804347,691.887612,2.883321845,9.220408087
OilCrop,10,0.652401725,84.48251875,1.159062642,7.513565713,4901.863236,0.154262661,11.24399812
OilPalm,10,0.012906278,27.01475896,0,2.388291733,30.823958,0,11.31133127
OtherGrain,10,0.572113022,1.081884363,7.472598065,3.383012912,1935.465742,2.208858866,0.319799064
