"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Cameroon","CMR","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","22.98899","23.60078","22.16983","31.3218","22.69817","22.32981","22.06371","21.52884","21.64587","21.65218","","","","","","","","23.15743","","21.63039","21.63034","","","","","","","","","","","","","","","","","","","","10.88737","10.88737","","9.45722","9.34161","13.34669","11.19512","","","","","",
"Congo, Dem. Rep.","COD","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","22.54966","25.82518","","","21.31579","","","","20.60068","","","","20.62985","20.62978","","","","19.56895","","","19.65698","19.61799","22.58598","17.42544","14.8552","","","","26.57884","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","25.03969","","22.1759","","22.27559","","20.50275","20.22599","30.55934","30.8532","30.87956","30.86838","30.84341","","","","","","","","","","","","","","","","","","","","","39.10092","47.12717","","","","12.70785","","14.54641","","","","","","","","","","",
"Colombia","COL","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","35.78771","","","","","","","","","","","","","18.95084","18.93142","18.30472","18.35336","","17.98771","17.98773","19.38152","20.51559","22.01215","22.58575","20.19642","17.81616","17.40093","17.622","15.3328","14.65349","14.87171","13.39995","13.41092","","","","",
"Comoros","COM","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.34513","","","","","","","28.15369","","","","","33.23033","33.22951","","","","","","","20.01441","","","","","","","","","","15.90399","17.86634","","","","",
"Cabo Verde","CPV","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","18.14544","19.05614","17.31918","16.20675","14.38211","14.59913","14.85737","11.6152","","11.54702","","","","8.78808","","","","15.47563","","15.62952","16.04549","16.69624","15.57879","15.19149","14.84515","15.28894","14.18443","13.95589","12.90451","11.80765","11.47472","9.89411","9.08614","8.39866","7.16081","6.73957","","7.86821","","","","",
"Costa Rica","CRI","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","18.82183","","16.52712","16.52706","","13.01303","12.35114","","13.36364","14.14771","13.44014","13.12496","12.48059","","","12.53294","12.48466","12.38394","","13.05517","13.33295","13.97276","","","","","","","","","","","","","","","","","","","","11.13569","11.75713","11.91941","12.811","12.08849","12.32542","9.55966","14.07768","","","","",
"Caribbean small states","CSS","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","18.17955","18.22628","17.98791","","","","","10.89225","8.30592","6.68722","5.80732","6.25013","6.91888","6.97097","6.37888","5.42162","5.12708","4.4246","3.78329","2.9854","2.33603","2.25893","1.57453","1.5886","2.7575","3.03368","3.30463","3.09691","3.09132","3.0486","2.9601","2.88178","2.77787","3.04671","2.84922","2.19075","2.1223","1.95794","1.91535","1.90524","2.04478","0.69136","2.12721","2.28194","2.2241","1.92576","1.68121","","","","",
"Curacao","CUW","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.91672","1.68998","0.86207","4.9236","","1.41018","3.3801","2.34516","4.92445","4.08277","","","2.14464","1.43707","1.73204","","","","","1.25","","","","",
"Cyprus","CYP","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","5.34477","5.15089","4.51451","3.26358","2.66183","1.67957","1.70772","1.39602","1.0074","0.70624","0.62214","0.41681","0.34285","","","","","","","","","","","","","","","","1.43114","0.78019","1.01641","1.36531","1.22649","1.01349","1.23125","1.59046","1.42074","1.45535","1.99513","1.65634","1.75918","1.84307","2.05044","1.89103","1.47941","1.49147","1.34714","","","","","",
"Czechia","CZE","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.50386","","","","","","","","12.02645","12.05355","10.69996","10.67537","10.4711","9.6907","9.55851","9.30709","8.92804","8.98592","9.08622","","","","","",
"Germany","DEU","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.33323","16.33651","15.69226","15.09087","14.58509","14.24988","14.2843","14.07769","13.84554","12.80193","12.67761","12.21534","11.7432","11.55221","11.24342","11.00283","10.88239","","","","","",
"Djibouti","DJI","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","20.37174","20.19572","20.3543","19.70242","17.84312","16.16361","","15.05005","14.95447","15.75294","14.96073","14.61193","16.05231","","16.21519","14.83008","17.10372","17.66562","","16.70107","11.94314","13.31741","13.24828","16.98437","16.98578","","12.14976","","","13.1635","13.23887","15.55129","13.69577","11.87158","11.08948","","","",
"Dominica","DMA","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","13.08808","13.70227","14.77679","","15.43005","16.66449","15.99304","16.37011","","","","","","","","","","","","","","","","","5.72558","3.56892","3.25969","2.40758","2.51336","2.0746","1.91471","1.36039","2.31559","1.4475","2.19178","","2.75206","3.6382","","3.14482","3.92799","4.56982","","","","","","",
"Denmark","DNK","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98178","0.97286","1.11667","1.20538","","1.2771","1.22042","1.20417","0","0","","1.78486","1.91195","2.06318","2.17717","2.30772","2.22613","2.3247","2.03203","2.06297","1.92894","1.94591","1.84585","1.78168","1.6115","","","","","",
"Dominican Republic","DOM","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.08663","22.1402","","23.65313","23.65322","18.7545","17.92817","14.49717","16.07349","17.31114","9.30229","11.40662","11.49035","11.26391","12.11249","12.16512","11.13743","10.43599","9.3649","8.26809","","","","",
"Algeria","DZA","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","15.35597","14.501","13.49133","13.94264","13.90413","13.16005","13.0254","11.85801","10.90016","10.21594","9.51027","8.12563","7.24533","4.88973","4.7266","4.80781","4.53159","4.62996","4.24614","4.55969","4.87154","5.2935","5.33824","6.71432","7.8885","","8.90168","10.10718","9.91166","9.57015","9.53101","9.65074","9.7661","10.23881","9.28394","7.9319","8.76192","8.83256","7.22319","6.44664","6.22759","5.45982","5.06452","4.98719","4.98632","4.71239","","","","",
"East Asia & Pacific (excluding high income)","EAP","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","15.86963","","17.2516","18.99417","19.09721","19.87464","19.20989","18.65298","19.64226","19.63683","","","","","","","","","","","","","","13.34384","12.62846","11.6475","11.75607","11.42585","11.42587","11.11188","10.46872","9.84097","9.68269","","9.43089","9.00378","8.76671","8.88898","6.00256","5.42341","5.57623","5.88271","5.68755","6.09429","4.39667","3.74422","2.90409","2.71555","","","","",
"Egypt, Arab Rep.","EGY","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","4.5879","5.57344","6.38186","","","","","","","","","","","","","","","","","","","","","4.93559","","","6.07574","","5.95669","5.55643","5.1879","5.18676","4.74793","4.05037","","","","","","","","3.31061","","2.93791","","2.44532","2.24235","2.12432","","","","",
"Euro area","EMU","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.65645","","40.5042","41.42246","40.89641","39.69231","","33.2483","29.85445","25.8612","23.62568","23.16351","21.75645","19.78011","17.86996","16.56706","16.63092","15.76605","13.83476","11.39887","9.64022","35.43899","18.27725","19.03948","","21.90422","22.21948","","","","",
"Spain","ESP","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","12.48898","","9.3272","7.55783","7.23803","6.24458","5.89323","5.87991","5.84756","","5.3628","5.14813","4.77089","4.55607","4.3864","4.94815","4.18187","4.29332","4.22526","3.97493","4.43392","4.02704","3.43715","3.28837","2.54983","","1.98061","2.04252","2.04534","2.19138","2.35385","2.42597","2.62609","2.57263","2.5504","2.56458","2.54597","2.63918","2.44857","2.45179","6.03419","5.80565","5.6919","5.62332","5.6886","","","","","",
